date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:48:07	1343/1343	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Aug%202020%2007:45:20%20GMT	https://nsdbytes.com/template/osam/index.html	D:/Plantillas/12/nsdbytes.com/template/osam/index.html	(from )
19:48:08	118/118	---MCZ	200	added ('OK')	text/plain	etag:W/%2281-5e89a816-a7b7ba683e7a7f75;;;%22	https://nsdbytes.com/robots.txt		(from )
19:48:09	68532/68532	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Sep%202021%2000:48:08%20GMT	https://nsdbytes.com/template/osam/favicon.ico	D:/Plantillas/12/nsdbytes.com/template/osam/favicon.ico	(from https://nsdbytes.com/template/osam/index.html)
19:48:09	31654/31654	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Aug%202020%2009:01:17%20GMT	https://nsdbytes.com/template/osam/light/index.html	D:/Plantillas/12/nsdbytes.com/template/osam/light/index.html	(from https://nsdbytes.com/template/osam/index.html)
19:48:09	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%226149ff86-302c%22	https://nsdbytes.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	D:/Plantillas/12/nsdbytes.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://nsdbytes.com/template/osam/index.html)
19:48:10	13795/13795	---MCZ	200	added ('OK')	text/javascript	etag:W/2021.9.0	https://static.cloudflareinsights.com/beacon.min.js	D:/Plantillas/12/static.cloudflareinsights.com/beacon.min.js	(from https://nsdbytes.com/template/osam/index.html)
19:48:10	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2247e-5f3cea5b-441a631020993d73;;;%22	https://nsdbytes.com/template/osam/light/favicon.ico	D:/Plantillas/12/nsdbytes.com/template/osam/light/favicon.ico	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:10	140936/140936	---M-Z	200	added ('OK')	text/css	etag:%2222688-5f3ced30-9310ef58b198d27f;gz%22	https://nsdbytes.com/template/osam/assets/vendor/bootstrap/css/bootstrap.min.css	D:/Plantillas/12/nsdbytes.com/template/osam/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:10	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-5f3ceed4-d4cb4831738968a1;gz%22	https://nsdbytes.com/template/osam/assets/vendor/font-awesome/css/font-awesome.min.css	D:/Plantillas/12/nsdbytes.com/template/osam/assets/vendor/font-awesome/css/font-awesome.min.css	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:11	58558/58558	---M-Z	200	added ('OK')	text/css	etag:%22e4be-5f3cec37-38fd22ce9c2f7575;gz%22	https://nsdbytes.com/template/osam/assets/vendor/animate-css/vivify.min.css	D:/Plantillas/12/nsdbytes.com/template/osam/assets/vendor/animate-css/vivify.min.css	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:11	3186/3186	---M-Z	200	added ('OK')	text/css	etag:%22c72-5f3cec3f-f8fdf2526a935f16;gz%22	https://nsdbytes.com/template/osam/assets/vendor/c3/c3.min.css	D:/Plantillas/12/nsdbytes.com/template/osam/assets/vendor/c3/c3.min.css	(from https://nsdbytes.com/template/osam/light/index.html)
19:48:11	14443/14443	---M-Z	200	added ('OK')	text/css	etag:%22386b-5f3ced5d-bf6dc1035b865c83;gz%22	https://nsdbytes.com/template/osam/assets/vendor/chartist/css/chartist.css	D:/Plantillas/12/nsdbytes.com/template/osam/assets/vendor/chartist/css/chartist.css	(from https://nsdbytes.com/template/osam/light/index.html)
